City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
275,Belmonte,BR,77.86,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
282,Pointe Michel,DM,80.35,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
283,Candolim,IN,87.44,broken clouds,15.5181,73.7626,Resort Terra Paraiso
284,Mana,GF,76.37,overcast clouds,5.6592,-53.7767,LE SAMANA
285,Nan,TH,77.29,overcast clouds,18.8333,100.6667,สะเนียน2
286,Fatehgarh,IN,77.54,few clouds,27.3667,79.6333,Rajputana Hotel and Restaurant
294,Bowen,AU,78.06,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
295,Pangai,TO,78.51,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
298,Tessalit,ML,78.6,broken clouds,20.1986,1.0114,
299,Sumenep,ID,79.41,moderate rain,-7.0167,113.8667,OYO 3271 Homestay Pandian
300,Auki,SB,79.27,overcast clouds,-8.7676,160.7034,Auki Motel
301,Beberibe,BR,80.83,overcast clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
302,Roebourne,AU,89.56,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
303,Mogadishu,SO,83.8,light rain,2.0371,45.3438,Hotel Juba
312,Banyo,CM,86.09,few clouds,6.75,11.8167,Motel JOMBA
314,Gat,IL,83.19,broken clouds,31.61,34.7642,OlusHome
318,Marsa Matruh,EG,80.65,scattered clouds,31.3525,27.2453,Beau Site
319,Harper,LR,83.14,light rain,4.375,-7.7169,Screensaver
324,Naigarhi,IN,76.53,scattered clouds,24.7833,81.7833,Nikhil jaiswal
338,Ginir,ET,75.33,few clouds,7.1333,40.7,Sura Dare Village
339,Hambantota,LK,78.46,light rain,6.1241,81.1185,Bungalow 63
340,Kirakira,SB,81.45,overcast clouds,-10.4544,161.9205,SanBiz Lodge
344,Perbaungan,ID,79.2,overcast clouds,3.5679,98.956,Bendang Lama
348,Luganville,VU,76.53,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
350,Sola,VU,82.08,overcast clouds,-13.8833,167.55,Leumerus Bungalows
352,Itarema,BR,82.62,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
354,Alofi,NU,77.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
359,Kutum,SD,84.07,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
363,Tabou,CI,83.26,light rain,4.423,-7.3528,hotêl doufoulougou
365,Quthing,LS,75.13,clear sky,-30.4,27.7003,Mountainside Hotel
367,Adwa,ET,76.93,clear sky,14.1646,38.8955,Maay Assa Hotel
371,Sargur,IN,78.37,overcast clouds,11.9833,76.4167,Sri rama jyothishyalaya
375,La Asuncion,VE,77.67,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
378,Gigmoto,PH,79.45,overcast clouds,13.7796,124.39,Cj's Travellers Inn
383,Omboue,GA,82.54,light rain,-1.5746,9.2618,Hotel Olako
385,Tautira,PF,79.34,light rain,-17.7333,-149.15,Pension Oaoa
386,Springbok,ZA,77.72,clear sky,-29.6643,17.8865,Undulata Country Lodge
388,Mahanoro,MG,77.65,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
391,Senador Jose Porfirio,BR,75.29,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
392,Souillac,MU,83.35,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
393,Arlit,NE,87.53,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
394,Salinopolis,BR,80.6,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
396,San Onofre,CO,75.09,overcast clouds,9.7359,-75.5263,Hotel Sinai
397,Champerico,GT,75.79,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
399,Moju,BR,75.04,overcast clouds,-1.8839,-48.7689,HOTEL MARTINS
402,Salalah,OM,89.08,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
412,Bosaso,SO,83.73,clear sky,11.2842,49.1816,Red Sea Hotel
416,Diffa,NE,89.38,few clouds,13.3154,12.6113,ProDAF/Diffa
418,Bandarbeyla,SO,82.81,clear sky,9.4942,50.8122,JABIR HOTEL
419,Isangel,VU,78.89,broken clouds,-19.55,169.2667,Tanna Lodge
420,Porto Franco,BR,76.95,overcast clouds,-6.3383,-47.3992,Saint Louis Hotel
421,Lalmohan,BD,77.56,scattered clouds,22.3384,90.7419,Sundorbon courier service
