City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Talcahuano,CL,-36.7167,-73.1167,49.73,59,0,5.82,clear sky,2021-11-29 09:38:55
60,Arraial Do Cabo,BR,-22.9661,-42.0278,73.22,87,19,11.23,few clouds,2021-11-29 09:35:00
61,Toora-Khem,RU,52.4675,96.11,6.37,95,92,0.72,overcast clouds,2021-11-29 09:38:56
62,Rio Grande,BR,-32.035,-52.0986,64.58,82,14,17.47,few clouds,2021-11-29 09:38:56
63,Barrow,US,71.2906,-156.7887,-15.11,99,100,6.89,overcast clouds,2021-11-29 09:35:11
64,Lebu,CL,-37.6167,-73.65,51.17,87,1,14.52,clear sky,2021-11-29 09:38:57
65,Tasiilaq,GL,65.6145,-37.6368,23.72,94,100,15.35,snow,2021-11-29 09:38:57
66,Boguchany,RU,58.3814,97.4531,6.87,94,80,4.74,broken clouds,2021-11-29 09:38:57
67,Meulaboh,ID,4.1363,96.1285,74.73,96,100,5.53,overcast clouds,2021-11-29 09:38:58
68,Provideniya,RU,64.3833,-173.3,-5.24,85,3,8.39,clear sky,2021-11-29 09:38:58
69,Bethel,US,41.3712,-73.414,29.08,95,99,4.38,overcast clouds,2021-11-29 09:38:59
70,Pisco,PE,-13.7,-76.2167,63.41,89,100,2.53,overcast clouds,2021-11-29 09:34:46
71,Markovo,RU,57.3206,107.0881,20.93,90,100,11.68,light snow,2021-11-29 09:39:00
72,Avarua,CK,-21.2078,-159.775,74.62,60,39,8.34,scattered clouds,2021-11-29 09:35:15
73,Santa Cruz De Tenerife,ES,28.4682,-16.2546,65.57,67,98,19.71,overcast clouds,2021-11-29 09:39:00
74,Srednekolymsk,RU,67.45,153.6833,-26.59,97,100,6.15,overcast clouds,2021-11-29 09:39:01
75,Hamilton,US,39.1834,-84.5333,30.31,54,28,4.76,scattered clouds,2021-11-29 09:35:20
76,Lompoc,US,34.6391,-120.4579,60.42,34,0,4.05,clear sky,2021-11-29 09:39:02
77,Vila Franca Do Campo,PT,37.7167,-25.4333,59.49,69,88,5.59,overcast clouds,2021-11-29 09:39:02
78,Visnes,NO,59.3556,5.2242,35.85,58,93,7.67,overcast clouds,2021-11-29 09:39:02
79,Mayo,US,38.8876,-76.5119,36.07,65,62,12.41,broken clouds,2021-11-29 09:39:03
80,Saint-Pierre,RE,-21.3393,55.4781,77.47,84,60,9.6,light rain,2021-11-29 09:39:03
81,Grants Pass,US,42.439,-123.3284,47.12,96,9,0.69,clear sky,2021-11-29 09:34:04
82,Dawson,US,31.7735,-84.4466,41.04,80,0,7.34,clear sky,2021-11-29 09:39:04
83,Port Elizabeth,ZA,-33.918,25.5701,71.33,63,21,11.01,few clouds,2021-11-29 09:39:05
84,Kyra,RU,49.5776,111.9753,9.34,80,68,6.58,broken clouds,2021-11-29 09:39:05
85,Lasa,IT,46.6166,10.7002,29.55,80,100,6.76,overcast clouds,2021-11-29 09:39:06
86,Baykit,RU,61.67,96.37,-10.21,99,69,2.82,broken clouds,2021-11-29 09:39:06
87,Airai,TL,-8.9266,125.4092,62.17,95,100,2.64,heavy intensity rain,2021-11-29 09:39:07
88,Dicabisagan,PH,17.0818,122.4157,79.23,85,56,3.09,broken clouds,2021-11-29 09:39:07
89,Karratha,AU,-20.7377,116.8463,87.13,50,2,15.84,clear sky,2021-11-29 09:39:08
